Num Credit Card,Num of Loan,Delay from due date,Num of Delayed Payment,Num Credit Inquiries,Outstanding Debt,Credit History Age,Monthly Balance,name
1,2,13,5,3,1498,349,311,credit_1
7,4,19,12,4,271,278,290,credit_2
7,1,26,14,2,784,253,398,credit_3
7,4,19,14,4,80,130,95,credit_4
3,4,17,10,1,821,219,431,credit_5
6,6,60,23,16,1990,224,306,credit_6
5,4,17,10,3,575,395,459,credit_7
4,2,5,11,0,1220,263,449,credit_8
8,6,61,16,8,2258,105,162,credit_9
3,2,13,11,1,649,257,472,credit_10
5,3,10,16,4,595,262,380,credit_11
6,5,51,22,9,2437,217,240,credit_12
7,2,1,3,4,744,385,373,credit_13
3,3,23,16,4,1328,220,291,credit_14
4,3,5,20,8,640,236,614,credit_15
7,1,33,12,6,829,387,381,credit_16
6,5,64,17,12,2506,193,292,credit_17
6,7,27,22,11,1636,95,289,credit_18
3,2,11,7,2,89,332,882,credit_19
7,2,5,3,2,877,300,263,credit_20
7,1,15,2,4,429,305,284,credit_21
5,3,17,19,9,2638,176,484,credit_22
4,4,10,10,1,466,377,373,credit_23
6,5,23,13,8,1988,212,301,credit_24
6,1,8,7,4,965,348,318,credit_25
3,6,22,13,10,2034,204,324,credit_26
4,1,12,17,2,585,382,694,credit_27
4,2,9,15,2,997,261,704,credit_28
5,2,10,10,1,1323,285,426,credit_29
5,4,3,5,1,1067,196,433,credit_30